MerchantID,country_merchant_octo
A01346101GVXYL7RVRJZ1,US
A02822941LP7K85IPCEQ1,US
A07158422UUJPVQH07HD3,US
A099732129ZR3TG6W49C7,US
A1257R2A4UH4UM,US
A112LKWDACT0Z4,US
A126YES7K8MB3L,US
A113XQ83H3H2QA,US
A128DUF2IW6JOQ,US
A1043207150639GG81CHV,US
A15G4HDIBJ004P,US
A148P63SEFS10O,US
A1045KPXLOXNL8,US
A15GR6RJ8XIKDR,US
A12EZRGV1GFZFS,US
A148Y5C400KBSB,US
A106OV2NHLTD48,US
A16N56TPS0RH8P,US
A11GTMC38Q8R02,US
A109XCLFW73MAZ,US
A10AL53ZIF5X7Q,US
A13L0TYZ4TA7CC,US
A11IHZOCZ2QWPC,US
A14A6J21Z5MO08,US
A16OSY0K1D43W3,US
A12IBIWVY8VRAX,US
A11K4E1NV7JPH,US
A10CBDBCOPZPH,US
A16SZBMKQEFINK,US
A14COK9ZB2NBPB,US
A14CUC1LRMCT6S,US
A11LGSISRBMFZ,US
A10DDK92YZVMD5,US
A15IS36TC6QUHX,US
A10FO23GECOJ83,US
A14DMTUF7AWBNL,US
A171OGBE2MLWMQ,US
A12QDNFS3UNKAN,US
A11RRHF4BQV79E,US
A14FNO3D6VYUG7,US
A15NK8NXUTNX6I,US
A14I9S2RQDUGHB,US
A12UZDHM2MHPXP,US
A14ILFD8N5DBOS,US
A11U50SX8Y6VAS,US
A11UL4PPX3203I,US
A11VQZIN3M3925,US
A14QAOM8VE3MAA,US
A15SLCCJ9EEA8I,US
A13TD3QSKKVPUQ,US
A12YE1DVKW53CK,US
A178XT2IXDCL1Q,US
A12Z3HO35H7WA,US
A10XTECHETZ8M,US
A132QM3ZOHVVXX,US
A135ONDRN4GVWG,US
A17B5S72AKU3KC,US
A123UPOQRWSRS1,US
A15T8QZST8KC6E,US
A124EDGJHR3S3V,US
A14XI8XBMQY5D4,US
A136Y3316HWI30,US
A13WKNQWZITAFS,US
A15VED66XTEXMD,US
A1911IJT1V2IDW,US
A138OXIT4DABUA,US
A13Y6OWZG3LGX0,US
A1919NYIH5072G,US
A17GVG821G8MBG,US
A15WMXW6ZVKRF9,US
A17H5XKVLY489H,US
A191FO8KTLMZQO,US
A13YGQ4ZCJFMDY,US
A17JJHO0HITD70,US
A15WX19GEXGIPC,US
A192PBN5V6AWSA,US
A160JZH1AZGL2O,US
A195TEVR4WPBDB,US
A185TD9B7TDCVL,US
A17O1MJIWD59BT,US
A197AM1OO6YFJU,US
A1611RPGLR182B,US
A158GX06PONXZ,US
A19AUSMK446DIH,US
A161E71JSJBU8E,US
A187D7G8TRYUDZ,US
A188S1XVURIYVA,US
A19BEK6XSCVMMS,US
A147RAV1OJYHRJ,US
A19CEHWMY4SRQD,US
A18AJ3GY7JXPXV,US
A1AF0DY2C1UUSO,US
A15D5KIZP3X5LT,US
A1BJPLGZV4L9KJ,US
A19F6PAPNJBCO3,US
A1BLU8WAWZDA0W,US
A16A42EI3E14H6,US
A19FY57N7QJSV7,US
A1BMS1Y5ZEOWLZ,US
A18F4BVP4891QH,US
A1AJHDFHGP5IWT,US
A18I3W22NENYTZ,US
A1CQC7ZU7BTBL7,US
A1AKDDHA6MNGIO,US
A19IHM18H3M4CX,US
A16BEAPBMB05B1,US
A18I4F70ZYFYMI,US
A19N0AB5XDVKKM,US
A1DRQFDGJWI4UE,US
A19NVE4G6SOT2C,US
A18LUPI5N9ZSKP,US
A1CXQB5FQ5TUN8,US
A18M0BV5J3J1E2,US
A19Q3X4FVDACUY,US
A1CXZMGW32AU66,US
A1BRNOHI0D956E,US
A1DXN92KCKEQV4,US
A19RWPW5P4VUJT,US
A1BTNKSQQ2XGLL,US
A18UZ8OJII3VEM,US
A1D0V45I1XWOOZ,US
A18WT7705E8ZJO,US
A1EWJ4VPL1SU6G,US
A1BXJ6IMUVOL1M,US
A1E0DF37GS08CD,US
A1D4JYIXPFHMXT,US
A19YFGERMHFT0O,US
A1ATCLLROYH251,US
A15GU9XRYPZZNM,GB
A121HDWCELYPEE,GB
A147HWTB7TJHI,GB
A19T6N7IVIHJ5X,GB
A10111992WJRYRFBZH9IS,CA
A16T8BH6F5JXMW,CA
A10NQ89CHF1BES,CA
A153LHG1NMMV0Y,CA
A181IPEP99H9FT,CA
A1BNKVTXVZK91D,CA
A10Y1FVRWDOU8,AU
A12HWOFRCUGHH,AU
A12NLJ3PQWFRTX,AU
A13TQTIVRE3FXL,AU
A1D0RIT2JEHWZ6,AU
A1ASRXANZCN5JL,AU
A19YJYE4VRT9I9,AU
A14L2L5TKL3N65,KR
A180SVR74R7KXL,KR
